"Time","AirTran Airways Corporation: FL, #","Alaska Airlines Inc.: AS, #","Allegiant Air: G4, #","American Airlines Inc.: AA, #","Comair Inc.: OH (1), #","Continental Air Lines Inc.: CO, #","Delta Air Lines Inc.: DL, #","Endeavor Air Inc.: 9E, #","Envoy Air: MQ, #","ExpressJet Airlines Inc.: XE, #","ExpressJet Airlines LLC: EV, #","Frontier Airlines Inc.: F9, #","Hawaiian Airlines Inc.: HA, #","Horizon Air: QX, #","JetBlue Airways: B6, #","Mesa Airlines Inc.: YV, #","PSA Airlines Inc.: OH, #","Republic Airline: YX, #","SkyWest Airlines Inc.: OO, #","Southwest Airlines Co.: WN, #","Spirit Air Lines: NK, #","United Air Lines Inc.: UA, #","US Airways Inc.: US (Merged with America West 9/05, #","Virgin America: VX, #"
"08/17/2010",700,418,,1527,417,626,2161,786,1246,1062,949,244,188,,580,452,,,1738,3264,,1000,1150,
"08/18/2010",709,417,,1528,430,632,2171,780,1246,1071,957,250,195,,574,456,,,1741,3264,,1002,1161,
"08/19/2010",716,430,,1530,427,699,2184,788,1246,1234,959,248,207,,573,458,,,1740,3264,,1000,1179,
"08/20/2010",717,428,,1534,431,689,2180,780,1245,1225,957,253,224,,575,459,,,1751,3264,,1017,1181,
"08/21/2010",679,390,,1409,301,555,1842,617,1051,960,749,220,205,,539,424,,,1568,2428,,953,931,
"08/22/2010",701,396,,1508,386,669,2080,717,1200,1109,914,239,212,,573,461,,,1730,2781,,1000,1096,
"08/23/2010",716,409,,1519,429,694,2187,776,1244,1217,959,245,208,,574,452,,,1743,3264,,1005,1179,
"08/24/2010",703,403,,1469,428,626,2169,784,1256,1052,952,242,187,,569,450,,,1702,3264,,979,1153,
"08/25/2010",711,406,,1475,433,630,2170,778,1258,1071,947,248,193,,563,454,,,1698,3264,,971,1161,
"08/26/2010",716,414,,1478,434,701,2174,792,1258,1234,952,244,205,,569,454,,,1697,3264,,972,1179,
"08/27/2010",724,412,,1482,433,698,2178,778,1256,1223,959,251,222,,574,459,,,1714,3264,,981,1181,
"08/28/2010",679,377,,1316,295,554,1842,607,1057,945,744,217,203,,535,414,,,1401,2428,,845,931,
"08/29/2010",702,399,,1463,390,670,2083,716,1211,1099,910,236,210,,570,457,,,1673,2781,,979,1096,
"08/30/2010",717,409,,1480,431,682,2180,777,1258,1190,954,245,206,,575,449,,,1704,3264,,977,1184,
"08/31/2010",701,403,,1475,432,597,2168,784,1258,1029,951,239,186,,568,447,,,1689,3264,,966,1154,
"09/01/2010",709,407,,1475,436,605,2170,783,1258,1044,944,245,193,,563,451,,,1694,3264,,953,1164,
"09/02/2010",716,414,,1478,451,684,2185,760,1258,1206,956,245,205,,572,474,,,1697,3264,,972,1243,
"09/03/2010",726,408,,1481,460,685,2153,744,1256,1188,962,247,222,,576,479,,,1713,3264,,980,1245,
"09/04/2010",546,375,,1248,355,497,1791,538,1057,736,722,203,203,,538,384,,,1262,2428,,785,862,
"09/05/2010",563,385,,1348,349,510,1755,464,1141,706,689,220,210,,571,381,,,1197,2082,,741,932,
"09/06/2010",719,403,,1463,409,650,2091,673,1240,1049,911,236,204,,576,478,,,1690,2804,,955,1216,
"09/07/2010",689,384,,1475,460,662,2120,725,1251,1175,927,240,172,,568,443,,,1695,3262,,963,1148,
"09/08/2010",560,387,,1475,482,605,2124,709,1250,1052,920,241,173,,507,427,,,1703,3262,,963,1158,
"09/09/2010",652,394,,1478,483,683,2151,715,1252,1194,923,238,173,,537,434,,,1705,3262,,964,1188,
"09/10/2010",669,392,,1481,484,681,2140,714,1250,1208,932,233,188,,543,435,,,1717,3262,,977,1190,
"09/11/2010",650,355,,1316,365,500,1721,446,1056,769,717,217,181,,439,373,,,1384,2426,,827,940,
"09/12/2010",659,378,,1463,449,643,2040,651,1206,1043,883,229,178,,540,428,,,1668,2779,,966,1103,
"09/13/2010",637,389,,1480,483,667,2144,716,1252,1195,928,227,178,,539,430,,,1704,3262,,968,1183,
"09/14/2010",556,383,,1475,481,587,2077,713,1252,1041,920,228,172,,496,416,,,1640,3262,,952,1144,
"09/15/2010",572,386,,1475,481,591,2119,712,1252,1054,918,231,173,,506,427,,,1691,3262,,959,1158,
"09/16/2010",655,394,,1478,484,672,2148,714,1252,1202,930,228,173,,535,431,,,1700,3262,,965,1187,
"09/17/2010",671,391,,1481,484,673,2143,714,1250,1194,928,221,188,,547,435,,,1713,3262,,977,1190,
"09/18/2010",652,357,,1316,356,492,1718,452,1056,761,715,209,181,,442,371,,,1381,2426,,828,939,
"09/19/2010",660,376,,1463,447,630,2044,651,1206,1041,879,225,178,,543,422,,,1663,2781,,969,1103,
"09/20/2010",637,378,,1480,483,662,2144,715,1252,1193,928,226,178,,541,428,,,1706,3262,,964,1183,
"09/21/2010",556,373,,1475,482,585,2075,713,1252,1035,920,225,172,,498,420,,,1644,3262,,948,1144,
"09/22/2010",572,375,,1475,482,593,2118,712,1252,1050,918,226,173,,508,426,,,1696,3262,,953,1157,
"09/23/2010",655,383,,1478,484,678,2150,715,1252,1190,926,224,173,,538,427,,,1700,3262,,961,1188,
"09/24/2010",670,380,,1481,484,675,2136,713,1250,1198,920,220,188,,548,435,,,1714,3262,,971,1186,
"09/25/2010",650,346,,1316,355,490,1717,451,1056,771,715,206,181,,441,372,,,1381,2426,,826,936,
"09/26/2010",658,369,,1463,444,634,2045,647,1206,1039,881,224,178,,542,426,,,1673,2853,,961,1103,
"09/27/2010",637,380,,1480,482,660,2150,714,1252,1195,925,224,178,,541,428,,,1703,3262,,963,1183,
"09/28/2010",556,375,,1475,482,585,2075,713,1252,1035,920,225,172,,498,420,,,1643,3262,,948,1144,
"09/29/2010",572,378,,1475,482,596,2115,711,1252,1046,918,226,173,,508,424,,,1696,3262,,955,1158,
"09/30/2010",654,384,,1476,482,710,2160,716,1253,1214,927,228,173,,540,430,,,1700,3262,,958,1188,
"10/01/2010",671,386,,1473,478,710,2133,716,1258,1220,955,220,188,,553,443,,,1688,3262,,962,1183,
"10/02/2010",649,352,,1308,315,518,1689,491,1064,792,755,205,181,,470,384,,,1391,2426,,832,936,
"10/03/2010",659,372,,1453,427,671,2045,647,1216,1080,910,224,180,,553,447,,,1659,2853,,962,1117,
"10/04/2010",637,381,,1472,464,701,2150,711,1260,1225,949,228,178,,553,448,,,1676,3262,,966,1196,
"10/05/2010",556,377,,1467,464,620,2075,714,1260,1070,941,225,172,,525,431,,,1613,3262,,949,1158,
"10/06/2010",565,379,,1467,466,631,2110,709,1260,1079,940,223,173,,530,442,,,1662,3262,,958,1176,
"10/07/2010",675,387,,1470,464,708,2158,716,1260,1215,946,232,173,,549,452,,,1666,3262,,965,1189,
"10/08/2010",687,384,,1473,473,706,2143,708,1258,1217,954,212,188,,556,457,,,1681,3262,,976,1191,
"10/09/2010",660,350,,1308,314,515,1700,493,1064,789,750,202,181,,473,383,,,1381,2426,,829,957,
"10/10/2010",683,373,,1453,430,670,2041,651,1216,1083,900,229,180,,554,450,,,1651,2853,,964,1118,
"10/11/2010",679,382,,1472,465,702,2152,710,1260,1219,948,227,178,,557,458,,,1668,3262,,968,1201,
"10/12/2010",615,377,,1467,465,622,2076,715,1260,1072,940,224,172,,525,432,,,1610,3262,,951,1158,
"10/13/2010",626,379,,1467,466,632,2110,710,1260,1071,940,223,173,,535,442,,,1660,3262,,960,1176,
"10/14/2010",685,387,,1470,464,703,2158,716,1260,1227,946,230,173,,551,452,,,1665,3262,,965,1193,
"10/15/2010",697,384,,1473,473,705,2162,702,1258,1225,952,222,188,,556,457,,,1679,3262,,976,1197,
"10/16/2010",668,350,,1308,316,516,1700,491,1064,787,753,206,181,,471,387,,,1377,2426,,833,959,
"10/17/2010",687,373,,1453,428,669,2064,652,1216,1070,904,227,180,,553,444,,,1648,2853,,968,1119,
"10/18/2010",679,382,,1472,465,698,2154,715,1260,1227,946,227,178,,554,442,,,1670,3262,,966,1201,
"10/19/2010",615,377,,1467,465,622,2075,715,1260,1074,940,222,172,,521,432,,,1610,3262,,949,1158,
"10/20/2010",626,379,,1467,466,632,2111,710,1260,1080,940,221,173,,533,444,,,1660,3262,,956,1176,
"10/21/2010",686,387,,1470,466,707,2158,712,1260,1228,950,230,173,,552,450,,,1662,3262,,963,1193,
"10/22/2010",696,384,,1473,474,705,2152,705,1258,1228,944,221,188,,556,455,,,1678,3262,,974,1196,
"10/23/2010",667,351,,1308,314,515,1689,495,1064,778,761,197,181,,470,392,,,1380,2426,,829,955,
"10/24/2010",671,373,,1453,424,669,2049,657,1216,1066,908,218,180,,553,445,,,1651,2853,,970,1115,
"10/25/2010",687,379,,1472,459,700,2148,718,1260,1220,954,222,178,,554,442,,,1670,3262,,966,1201,
"10/26/2010",613,374,,1467,459,622,2077,721,1260,1062,940,216,172,,520,432,,,1611,3262,,949,1158,
"10/27/2010",624,375,,1467,461,632,2101,715,1260,1073,946,218,173,,531,444,,,1660,3262,,958,1176,
"10/28/2010",688,385,,1470,465,706,2155,715,1260,1208,948,227,173,,550,454,,,1664,3262,,963,1193,
"10/29/2010",697,381,,1473,467,705,2140,713,1258,1212,940,214,188,,554,455,,,1679,3262,,974,1203,
"10/30/2010",671,351,,1309,306,521,1718,502,1064,765,752,195,181,,470,383,,,1365,2426,,810,957,
"10/31/2010",681,371,,1452,434,659,2043,653,1132,1066,905,218,180,,556,439,,,1623,2690,,933,1117,
"11/01/2010",682,380,,1472,457,718,2133,726,1236,1196,944,227,178,,536,451,,,1687,3262,,961,1202,
"11/02/2010",612,373,,1467,452,647,2019,721,1236,1036,941,215,172,,503,444,,,1622,3262,,955,1160,
"11/03/2010",618,377,,1467,454,649,2056,713,1236,1045,945,216,173,,505,450,,,1678,3262,,964,1174,
"11/04/2010",683,385,,1470,458,724,2137,719,1236,1089,951,217,173,,548,444,,,1678,3262,,948,1195,
"11/05/2010",713,380,,1473,455,713,2133,721,1234,1097,958,214,188,,569,447,,,1683,3262,,953,1201,
"11/06/2010",666,342,,1308,277,538,1633,540,1047,679,744,183,181,,476,384,,,1347,2454,,785,956,
"11/07/2010",682,366,,1453,401,655,2048,671,1195,990,916,211,180,,566,444,,,1635,2905,,911,1095,
"11/08/2010",691,382,,1472,459,714,2129,718,1236,1101,959,226,178,,541,442,,,1682,3166,,948,1205,
"11/09/2010",637,371,,1467,454,642,2015,721,1236,935,943,212,172,,501,434,,,1603,3166,,931,1165,
"11/10/2010",649,377,,1467,456,647,2052,712,1236,946,951,216,173,,506,436,,,1665,3166,,941,1167,
"11/11/2010",689,386,,1470,456,723,2136,719,1236,1099,957,217,173,,549,444,,,1676,3166,,945,1207,
"11/12/2010",715,378,,1473,458,719,2137,716,1234,1096,956,213,189,,569,447,,,1686,3166,,953,1205,
"11/13/2010",665,347,,1308,277,535,1665,537,1047,675,742,178,181,,477,391,,,1338,2510,,793,962,
"11/14/2010",682,370,,1453,400,654,2053,670,1195,992,912,211,180,,565,446,,,1630,2905,,917,1099,
"11/15/2010",691,384,,1472,461,714,2127,720,1236,1087,953,227,178,,543,436,,,1680,3166,,950,1205,
"11/16/2010",637,369,,1467,454,641,2017,721,1236,922,943,212,172,,500,430,,,1604,3166,,934,1165,
"11/17/2010",642,375,,1462,456,646,2053,715,1233,933,951,212,173,,508,438,,,1662,3166,,942,1167,
"11/18/2010",703,387,,1480,458,723,2147,717,1225,1078,958,219,173,,588,442,,,1676,3166,,947,1207,
"11/19/2010",725,380,,1504,455,720,2147,719,1232,1077,958,219,186,,616,447,,,1683,3310,,957,1195,
"11/20/2010",688,363,,1364,281,539,1727,530,1028,666,734,186,181,,584,391,,,1415,2510,,829,966,
"11/21/2010",698,372,,1482,400,650,2079,668,1194,958,894,207,179,,614,441,,,1588,2905,,906,1100,
"11/22/2010",717,384,,1503,458,639,2162,724,1234,896,937,222,178,,626,424,,,1634,3166,,906,1145,
"11/23/2010",711,382,,1500,458,659,2171,725,1234,926,952,216,172,,631,433,,,1682,3310,,927,1203,
"11/24/2010",719,384,,1500,461,726,2171,719,1234,1092,950,226,173,,630,471,,,1684,3310,,941,1258,
"11/25/2010",558,265,,1028,237,472,1320,445,968,593,568,169,173,,460,301,,,984,2107,,678,617,
"11/26/2010",722,335,,1336,242,571,1458,440,1190,640,554,198,188,,609,416,,,1142,2517,,727,1005,
"11/27/2010",687,363,,1362,418,645,1954,683,1032,946,898,194,181,,618,440,,,1678,2767,,906,1062,
"11/28/2010",700,372,,1482,454,759,2169,725,1194,1184,947,220,180,,631,480,,,1708,3418,,971,1182,
"11/29/2010",717,384,,1503,458,742,2186,728,1234,1101,940,223,178,,630,457,,,1692,3310,,953,1231,
"11/30/2010",708,373,,1500,453,654,2066,724,1234,929,945,215,172,,568,435,,,1641,3166,,939,1197,
"12/01/2010",616,376,,1500,438,620,2029,683,1234,920,941,211,173,,520,427,,,1670,3166,,925,1163,
"12/02/2010",675,381,,1500,434,685,2102,692,1234,1063,953,208,173,,561,434,,,1674,3166,,933,1179,
"12/03/2010",704,374,,1503,436,681,2104,689,1232,1064,954,215,188,,571,442,,,1680,3166,,942,1195,
"12/04/2010",651,346,,1364,269,514,1578,531,1028,649,765,181,181,,473,347,,,1320,2510,,763,809,
"12/05/2010",656,369,,1482,394,621,2002,644,1194,965,912,204,180,,570,425,,,1627,2905,,884,1077,
"12/06/2010",677,376,,1503,437,680,2092,683,1234,1065,954,224,178,,556,416,,,1680,3166,,931,1097,
"12/07/2010",602,368,,1500,430,603,1962,680,1234,908,943,207,172,,496,402,,,1598,3166,,916,1063,
"12/08/2010",608,374,,1500,434,613,2010,675,1234,918,945,207,173,,503,428,,,1655,3166,,925,1164,
"12/09/2010",685,381,,1500,436,684,2103,691,1234,1063,950,210,173,,559,434,,,1681,3166,,927,1179,
"12/10/2010",703,374,,1503,434,681,2104,691,1232,1060,953,215,188,,571,442,,,1689,3166,,935,1198,
"12/11/2010",650,346,,1364,273,514,1590,529,1028,654,763,180,181,,473,346,,,1326,2510,,764,809,
"12/12/2010",671,369,,1482,394,621,2004,644,1194,970,908,203,180,,570,428,,,1626,2905,,891,1076,
"12/13/2010",682,378,,1503,437,680,2095,685,1234,1067,953,223,180,,556,416,,,1684,3166,,930,1097,
"12/14/2010",602,372,,1500,430,606,1963,680,1234,910,945,206,174,,503,402,,,1608,3166,,915,1063,
"12/15/2010",609,374,,1501,430,620,2008,683,1232,932,943,210,176,,514,424,,,1666,3166,,921,1168,
"12/16/2010",685,382,,1517,435,763,2109,692,1224,1113,952,217,177,,607,466,,,1696,3166,,908,1160,
"12/17/2010",707,378,,1521,436,767,2120,690,1224,1124,950,223,192,,634,487,,,1704,3310,,917,1201,
"12/18/2010",654,364,,1392,358,640,1775,633,1018,893,857,166,185,,617,449,,,1593,2510,,858,1024,
"12/19/2010",676,376,,1502,408,711,1968,662,1188,1063,898,197,184,,635,485,,,1680,2905,,906,1108,
"12/20/2010",689,385,,1523,444,766,2023,724,1226,1136,931,218,182,,640,463,,,1721,3166,,920,1171,
"12/21/2010",701,382,,1520,444,770,2025,724,1226,1130,928,218,176,,639,462,,,1719,3166,,916,1163,
"12/22/2010",718,380,,1520,444,770,2029,724,1226,1130,932,219,177,,641,481,,,1719,3310,,913,1203,
"12/23/2010",708,387,,1520,446,772,2025,723,1226,1128,934,222,176,,642,492,,,1718,3310,,916,1222,
"12/24/2010",677,349,,1087,311,648,1719,534,945,903,749,215,190,,641,453,,,1365,2429,,790,1016,
"12/25/2010",647,280,,1318,296,628,1601,538,993,775,681,166,184,,611,415,,,1292,2261,,757,948,
"12/26/2010",666,370,,1503,426,722,1978,726,1188,1068,913,195,184,,642,478,,,1681,3346,,902,1092,
"12/27/2010",713,384,,1524,444,768,2023,722,1224,1143,937,223,182,,642,484,,,1710,3310,,898,1194,
"12/28/2010",714,381,,1520,444,772,2029,724,1224,1133,928,219,176,,641,482,,,1707,3310,,899,1199,
"12/29/2010",717,378,,1520,444,770,2030,724,1224,1135,930,215,177,,641,476,,,1708,3310,,895,1195,
"12/30/2010",704,387,,1520,445,774,2024,723,1224,1133,932,222,176,,642,488,,,1706,3310,,898,1198,
"12/31/2010",660,350,,1444,299,654,1716,543,1013,911,749,217,190,,601,451,,,1350,2322,,824,1069,
"01/01/2011",652,312,,1332,,636,1662,,983,816,693,172,184,,609,436,,,1522,2231,,834,966,
"01/02/2011",668,374,,1506,,720,1984,,1188,1069,919,199,184,,640,491,,,1691,3346,,906,1111,
"01/03/2011",706,384,,1524,,772,2027,,1226,1135,921,225,182,,640,478,,,1724,3310,,906,1221,
"01/04/2011",572,371,,1519,,627,1964,,1227,872,922,220,176,,592,436,,,1640,3310,,873,1171,
"01/05/2011",581,371,,1511,,638,1973,,1228,872,934,216,177,,526,438,,,1677,3166,,871,1173,
"01/06/2011",662,383,,1512,,692,2024,,1230,998,936,217,176,,577,448,,,1689,3166,,874,1179,
"01/07/2011",677,375,,1515,,691,2021,,1228,986,937,218,190,,592,446,,,1696,3166,,881,1181,
"01/08/2011",608,341,,1388,,551,1586,,1023,605,679,147,183,,496,382,,,1303,2502,,703,898,
"01/09/2011",632,369,,1496,,631,1918,,1191,882,865,190,182,,586,424,,,1612,2789,,841,1077,
"01/10/2011",652,378,,1515,,677,2006,,1230,998,938,217,180,,580,442,,,1688,3184,,877,1181,
"01/11/2011",565,367,,1510,,615,1945,,1230,843,926,214,172,,497,426,,,1603,3184,,850,1156,
"01/12/2011",578,369,,1510,,617,1975,,1228,854,925,213,173,,497,440,,,1654,3184,,854,1167,
"01/13/2011",664,383,,1512,,682,2025,,1230,983,930,217,173,,570,448,,,1684,3184,,874,1179,
"01/14/2011",678,377,,1515,,678,2023,,1228,994,931,218,188,,586,446,,,1691,3184,,881,1181,
"01/15/2011",624,341,,1388,,543,1575,,1023,595,655,145,181,,487,380,,,1293,2382,,699,898,
"01/16/2011",632,369,,1496,,626,1790,,1191,870,758,190,180,,579,424,,,1535,2789,,841,1077,
"01/17/2011",659,376,,1515,,670,1978,,1230,987,911,215,178,,577,442,,,1674,3184,,877,1179,
"01/18/2011",563,365,,1508,,605,1944,,1228,848,922,208,172,,488,426,,,1589,3184,,840,1156,
"01/19/2011",576,365,,1509,,616,1975,,1228,852,922,214,173,,491,436,,,1650,3184,,854,1167,
"01/20/2011",661,381,,1512,,682,2025,,1230,996,930,214,173,,566,448,,,1685,3184,,874,1179,
"01/21/2011",678,375,,1515,,678,2022,,1228,996,931,220,188,,582,446,,,1690,3184,,881,1181,
"01/22/2011",622,339,,1388,,543,1587,,1023,596,665,147,181,,481,380,,,1302,2346,,699,898,
"01/23/2011",632,367,,1496,,622,1919,,1191,876,858,190,180,,574,424,,,1608,2789,,841,1077,
"01/24/2011",657,376,,1515,,670,2009,,1230,986,929,214,178,,566,442,,,1683,3184,,877,1179,
"01/25/2011",563,365,,1508,,605,1943,,1228,853,924,213,172,,486,426,,,1589,3184,,840,1156,
"01/26/2011",573,365,,1510,,616,1974,,1228,850,924,214,173,,489,438,,,1653,3184,,854,1167,
"01/27/2011",662,381,,1512,,682,2024,,1230,999,929,214,173,,566,446,,,1689,3184,,874,1179,
"01/28/2011",675,375,,1515,,678,2023,,1228,993,932,220,188,,582,446,,,1692,3184,,881,1181,
"01/29/2011",622,339,,1388,,545,1583,,1025,602,664,148,181,,481,378,,,1298,2348,,699,900,
"01/30/2011",635,367,,1496,,622,1917,,1191,867,858,190,180,,573,424,,,1608,2789,,841,1077,
"01/31/2011",656,376,,1515,,670,2007,,1230,990,931,214,178,,565,442,,,1684,3184,,877,1179,
"02/01/2011",561,365,,1508,,605,1928,,1228,973,926,213,176,,503,424,,,1575,3184,,833,1154,
"02/02/2011",573,365,,1510,,616,1971,,1228,979,926,214,177,,507,432,,,1637,3184,,854,1167,
"02/03/2011",661,382,,1512,,689,2028,,1230,1125,934,216,177,,573,444,,,1666,3184,,875,1179,
"02/04/2011",676,378,,1517,,688,2029,,1228,1120,935,220,192,,589,446,,,1672,3195,,882,1179,
"02/05/2011",622,339,,1388,,548,1591,,1025,714,667,150,185,,488,376,,,1293,2370,,699,900,
"02/06/2011",632,371,,1497,,631,1928,,1191,1001,861,195,184,,577,422,,,1586,2789,,843,1077,
"02/07/2011",660,380,,1519,,697,2016,,1236,1116,930,216,184,,565,442,,,1667,3196,,879,1178,
"02/08/2011",563,371,,1508,,604,1920,,1228,972,926,207,176,,497,426,,,1572,3184,,840,1157,
"02/09/2011",576,375,,1509,,614,1966,,1229,978,926,212,177,,499,438,,,1637,3184,,854,1167,
"02/10/2011",661,385,,1524,,676,2016,,1249,1129,938,217,177,,570,444,,,1669,3184,,874,1179,
"02/11/2011",672,379,,1529,,680,2016,,1246,1120,935,219,188,,589,446,,,1675,3184,,881,1181,
"02/12/2011",624,343,,1397,,547,1585,,1040,711,667,170,181,,489,376,,,1285,2386,,699,900,
"02/13/2011",632,368,,1502,,629,1918,,1206,995,861,198,180,,579,422,,,1586,2891,,841,1077,
"02/14/2011",658,380,,1528,,674,1917,,1248,1128,921,225,180,,567,442,,,1659,3232,,877,1181,
"02/15/2011",564,371,,1524,,606,1919,,1248,975,916,221,176,,501,426,,,1574,3232,,840,1156,
"02/16/2011",578,375,,1524,,623,1955,,1248,1012,917,215,177,,510,430,,,1629,3232,,862,1170,
"02/17/2011",674,385,,1528,,730,2021,,1248,1235,953,222,177,,613,457,,,1681,3232,,901,1224,
"02/18/2011",689,378,,1529,,733,2024,,1246,1220,947,223,188,,633,460,,,1693,3232,,913,1235,
"02/19/2011",639,347,,1294,,597,1639,,949,897,722,177,181,,581,392,,,1465,2414,,825,934,
"02/20/2011",640,370,,1407,,682,1808,,1090,1137,716,207,180,,631,433,,,1607,2891,,888,1094,
"02/21/2011",687,380,,1527,,729,1966,,1200,1223,894,225,184,,629,457,,,1692,3232,,908,1224,
"02/22/2011",687,373,,1524,,704,1995,,1248,1210,945,221,176,,605,427,,,1662,3232,,883,1184,
"02/23/2011",685,375,,1524,,666,2021,,1248,1114,937,214,177,,608,434,,,1666,3232,,889,1184,
"02/24/2011",677,383,,1528,,728,2030,,1248,1227,944,224,177,,624,442,,,1693,3232,,904,1192,
"02/25/2011",691,378,,1529,,734,2026,,1246,1216,941,222,184,,629,442,,,1692,3232,,913,1193,
"02/26/2011",637,347,,1397,,597,1662,,1038,901,720,175,181,,577,389,,,1466,2414,,826,923,
"02/27/2011",648,368,,1502,,681,1929,,1206,1139,886,203,180,,627,448,,,1624,2891,,889,1128,
"02/28/2011",689,380,,1528,,728,2020,,1248,1222,944,224,180,,622,441,,,1694,3232,,908,1201,
"03/01/2011",687,374,,1524,,659,1998,,1248,1109,947,221,175,,589,420,,,1648,3232,,876,1178,
"03/02/2011",691,380,,1524,,668,2065,,1248,1115,969,218,177,,569,433,,,1675,3232,,889,1184,
"03/03/2011",681,388,,1528,,731,2086,,1248,1227,974,222,177,,615,449,,,1703,3232,,904,1191,
"03/04/2011",691,383,,1529,,735,2087,,1246,1224,970,228,188,,624,451,,,1701,3232,,913,1196,
"03/05/2011",637,352,,1397,,599,1747,,1038,914,782,182,181,,559,394,,,1503,2414,,825,943,
"03/06/2011",648,374,,1502,,690,2020,,1206,1215,924,206,180,,622,455,,,1616,2891,,886,1129,
"03/07/2011",692,384,,1528,,723,2077,,1248,1321,974,229,184,,616,447,,,1657,3232,,906,1202,
"03/08/2011",712,376,,1524,,668,2048,,1248,1190,973,223,176,,570,430,,,1626,3232,,889,1187,
"03/09/2011",712,380,,1524,,679,2072,,1248,1200,971,219,177,,566,440,,,1630,3232,,895,1189,
"03/10/2011",711,388,,1528,,737,2088,,1248,1323,975,222,177,,616,464,,,1656,3232,,902,1228,
"03/11/2011",720,383,,1529,,736,2086,,1246,1330,974,229,192,,627,465,,,1655,3232,,909,1239,
"03/12/2011",667,354,,1398,,603,1750,,1034,971,784,180,185,,565,411,,,1481,2772,,822,954,
"03/13/2011",680,382,,1502,,689,2013,,1206,1221,922,207,184,,625,457,,,1611,3062,,884,1136,
"03/14/2011",723,399,,1528,,723,2075,,1248,1320,976,232,184,,616,449,,,1655,3416,,906,1192,
"03/15/2011",718,393,,1524,,668,2050,,1248,1182,973,226,176,,569,430,,,1617,3416,,889,1187,
"03/16/2011",718,396,,1524,,677,2075,,1248,1188,971,222,177,,564,440,,,1627,3416,,893,1189,
"03/17/2011",714,399,,1528,,737,2094,,1248,1308,974,226,177,,616,466,,,1652,3416,,902,1238,
"03/18/2011",722,395,,1529,,735,2091,,1246,1314,973,231,192,,627,465,,,1657,3416,,911,1239,
"03/19/2011",669,374,,1397,,599,1745,,1038,964,785,179,185,,562,419,,,1488,2802,,823,982,
"03/20/2011",680,384,,1502,,690,2017,,1206,1210,922,209,184,,625,455,,,1606,3062,,886,1139,
"03/21/2011",724,399,,1528,,721,2075,,1248,1308,974,231,184,,615,449,,,1652,3416,,906,1192,
"03/22/2011",718,393,,1524,,668,2048,,1248,1178,973,226,176,,569,428,,,1618,3416,,889,1187,
"03/23/2011",719,395,,1524,,675,2072,,1248,1192,971,222,177,,565,442,,,1626,3416,,893,1189,
"03/24/2011",714,400,,1528,,737,2089,,1248,1311,974,226,177,,616,468,,,1653,3416,,902,1238,
"03/25/2011",722,394,,1529,,736,2086,,1246,1315,975,231,192,,627,465,,,1651,3416,,911,1239,
