Entity,Code,Day,total_boosters
Africa,,2023-06-09,89772254
Africa,,2023-06-10,89772254
Africa,,2023-06-11,89782496
Africa,,2023-06-12,89782496
Africa,,2023-06-13,89782579
Africa,,2023-06-14,89782579
Africa,,2023-06-15,89782579
Africa,,2023-06-16,89782579
Africa,,2023-06-17,89782579
Africa,,2023-06-18,91205581
Africa,,2023-06-19,91205581
Africa,,2023-06-20,91205637
Africa,,2023-06-21,91205637
Africa,,2023-06-22,91205637
Africa,,2023-06-23,91205637
Africa,,2023-06-24,91205637
Africa,,2023-06-25,91424020
Africa,,2023-06-26,91424020
Africa,,2023-06-27,91424020
Africa,,2023-06-28,91424020
Africa,,2023-06-29,91424020
Africa,,2023-06-30,91424020
Africa,,2023-07-01,91424020
Africa,,2023-07-02,92191279
Africa,,2023-07-03,92191279
Africa,,2023-07-04,92191279
Africa,,2023-07-05,92191279
Africa,,2023-07-06,92191279
Africa,,2023-07-07,92191279
Africa,,2023-07-08,92191279
Africa,,2023-07-09,92191279
Africa,,2023-07-10,92191279
Africa,,2023-07-11,92191279
Africa,,2023-07-12,92191279
Africa,,2023-07-13,92191279
Africa,,2023-07-14,92191279
Africa,,2023-07-15,92191279
Africa,,2023-07-16,92197920
Africa,,2023-07-17,92197920
Africa,,2023-07-18,92197920
Africa,,2023-07-19,92197920
Africa,,2023-07-20,92197920
Africa,,2023-07-21,92197920
Africa,,2023-07-22,92197920
Africa,,2023-07-23,95591611
Africa,,2023-07-24,95591611
Africa,,2023-07-25,95619745
Africa,,2023-07-26,95619745
Africa,,2023-07-27,95619745
Africa,,2023-07-28,95619745
Africa,,2023-07-29,95619745
Africa,,2023-07-30,95641191
Africa,,2023-07-31,95641191
Africa,,2023-08-01,95641191
Africa,,2023-08-02,95641191
Africa,,2023-08-03,95641191
Africa,,2023-08-04,95641191
Africa,,2023-08-05,95641191
Africa,,2023-08-06,95814874
Africa,,2023-08-07,95814874
Africa,,2023-08-08,95814874
Africa,,2023-08-09,95814874
Africa,,2023-08-10,95814874
Africa,,2023-08-11,95814874
Africa,,2023-08-12,95814874
Africa,,2023-08-13,95814874
Africa,,2023-08-14,95814874
Africa,,2023-08-15,95814874
Africa,,2023-08-16,95814874
Africa,,2023-08-17,95814874
Africa,,2023-08-18,95814874
Africa,,2023-08-19,95814874
Africa,,2023-08-20,96002737
Africa,,2023-08-21,96002737
Africa,,2023-08-22,96002737
Africa,,2023-08-23,96002737
Africa,,2023-08-24,96002737
Africa,,2023-08-25,96002737
Africa,,2023-08-26,96002737
Africa,,2023-08-27,96002737
Africa,,2023-08-28,96002737
Africa,,2023-08-29,96002737
